,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xC1150764d41dB5a71B4f512f54DF6f304b8CB5ee,0x42638cB6C43ABa7F26aD53129Cadf25e3055b673,0.054607391357421875,0.0,0.07423210144042969,0.0,0.636425256729126,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
1,patient,0x8c489A50bCBb53F9D263e3e158B0E4E70a4F4FFd,0x9e0740af9d7Fd16348ab61CA8355a644d598113A,0.05477595329284668,0.0,0.07263517379760742,0.0,0.5534458160400391,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x339E268C1286df896Aa70D938f4d50e4B67e356f,0xc31c519868c4104876b57912A2eaE8bf3b8Fe955,0.05109548568725586,0.0,0.06804800033569336,0.0,0.6034407615661621,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0xD6740Cf1565D2327808e9fAE308e5a2F628C774c,0xFd668F759f08Cd9B275ef4Bc3CB2F80Bae7e1914,0.049179792404174805,0.0,0.07102108001708984,0.0,0.5993297100067139,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
4,patient,0x55EB5F33CCE5F4E232E9BA1d5ce946b8b61E47D0,0xab099757b4e2Cd05a59390023cac57587A53309A,0.05799245834350586,0.0,0.06902432441711426,0.0,0.6457138061523438,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
5,patient,0x354b888D257923afa3bd63B5c4452c2851206152,0x0E522014929c0e7245b9605b9975ecfd69a0bb84,0.05314230918884277,0.0,0.07160806655883789,0.0,0.5413315296173096,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0xb7948F1b004B557790aAEbC9d7964be2f9A60FCc,0x363A3f1a4d0565A58F662b4Ed9C2c06b7eE59562,0.04994320869445801,0.0,0.07102680206298828,0.0,0.5341579914093018,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0xFEb956CeCd155f787424cC0605d96097d582C510,0xe849a855729d02D94279ac1c52fcdEd396E28CB7,0.04911088943481445,0.0,0.07000613212585449,0.0,1.8517067432403564,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x2e6CC09496f218FE9d9975EA427c8dD4E5fF5bAe,0xa93eF16b200a9d83f364A65855Ad743AF2aC6615,0.049308061599731445,0.0,0.0671389102935791,0.0,0.5460755825042725,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x726714C4A5531Db352A403829d25f6a9F164516C,0x5A5e5949e140c59A08D969Fd97726A4Dc5AB4884,0.05177497863769531,0.0,0.06799459457397461,0.0,0.5979163646697998,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
