,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0x6123702bd6c7BdC58E03FD66150893f4AB73A041,0x49c7329A5F6d5f33211637CC0ed236f6be86c64b,0.05280709266662598,0.0,0.07283282279968262,0.0,0.7335205078125,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0xc7EED9fB115B97dCC5688aa337324dDca897464a,0xfC5aa252A9F556211C6eE81c7bB7A849A7B9Fd41,0.05609011650085449,0.0,0.07406425476074219,0.0,0.5865840911865234,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0xcea2D0487Ff683ABb1Ab76e0a3577b1020830eeB,0x34cCC0e82cc6f27A2CC7028E6e78E9FFA77ae020,0.050299882888793945,0.0,0.0740811824798584,0.0,0.5550923347473145,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x070e73555C527D03cD0D67562950cEbc9E763f86,0x1467487fD6CE465ea3f482E24fFF3AE5d76A5268,0.051796913146972656,0.0,0.07052397727966309,0.0,0.5338866710662842,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
4,patient,0xC5f36A9904FEC0B81BF17C829aC22373956dC3a3,0x0fa86510843fE2B2A21E1f6BDd6eD31D36b4aadD,0.05209159851074219,0.0,0.07117962837219238,0.0,0.5262331962585449,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
5,patient,0x459844bC1719ddDab637EF7ccE06f9A618947977,0x3846cBe3b86d5B58D29c532DD3FE36C165BDacD2,0.05032086372375488,0.0,0.07056212425231934,0.0,0.5241038799285889,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
6,patient,0x0BB574E493a334fE64e7F3DbD539EFB766DcBbD9,0x375C0cb25AfAFd933ec06a2EeCaA07f358763501,0.05556035041809082,0.0,0.07409143447875977,0.0,0.6233727931976318,44704.0,0.0,53058.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
7,patient,0x3CCf60ebbe4EDF7ed8463Ea6FDFc1583446F3f4f,0xDD03D0e380c1f27319EB6d77eA8e53BCC8C226D3,0.05394315719604492,0.0,0.07629203796386719,0.0,0.5026869773864746,44704.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
8,patient,0xbCCDbf2333484d4b0e1DD3a1B492b3DcAbd4eE7D,0x4E9B9d6e35568E8d65CFECc9d418Ad277BE20c8D,0.052358388900756836,0.0,0.07005500793457031,0.0,0.4995882511138916,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
9,patient,0x89172f109D8214D1A7F03A32042E0a11188E2C7b,0x45Afa192a568e7658961EFAa26724BD7A47fF707,0.0534520149230957,0.0,0.07858657836914062,0.0,0.5728535652160645,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
