,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xE3A9Ec3dC9c41977fc3e87eF119695e2BdA2831e,0x82999e19D28340a20f395C824C5dF77f0d1fB0f7,0.05120086669921875,0.0,0.07052993774414062,0.0,0.6286885738372803,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0x23073d59B5681651f8709bd66077484d7b24dFEa,0xd83E7802D0106Abdb4c6D8EA2aaE282D252f1c07,0.053650617599487305,0.0,0.07724165916442871,0.0,0.5829668045043945,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x511C8f69f48cE3CAC999a264C7D8ddf6ADb8bbB8,0x71F8f147461fa1124698b8d5953B6Bb52BDD65FC,0.05766558647155762,0.0,0.09462809562683105,0.0,0.6079921722412109,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x3e4082c6edBb31051847d48CEe58d6A8Fcf52515,0xbE8A0F9843a86FEb8A5E2a782415823584e8467c,0.04890251159667969,0.0,0.0736997127532959,0.0,0.8305590152740479,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
4,patient,0x8933545A615DAB5a9046ee081f9BEB82749c66fF,0x5e4212b42ab5416F13e04A1Df178DCEE42400b7A,0.08884239196777344,0.0,0.10460305213928223,0.0,0.6321303844451904,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0xf73fC1C1DdBe909B695F9B69e2ce1FEC56bBE61F,0xb35635ab1A66af6C49a2b3BE8a3652397b9b20fc,0.07506847381591797,0.0,0.09325075149536133,0.0,0.5842440128326416,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0xE81765257174420b9924cC63FfF4ddCE8e072652,0x3283EC16a0CBfa8500180b077e64c3928b62a1b0,0.050817012786865234,0.0,0.07541799545288086,0.0,0.5923256874084473,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x59A620FAF5a693fBF00E0bFc0d26B59603412da7,0x4aFffA04Ad7ccD70A469CC2751fBC494F03B543F,0.0514988899230957,0.0,0.07495546340942383,0.0,0.8064031600952148,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0xD23983935b5c09b156389ab482dA402673Ad7f89,0x99207EE179a1942bC1C46d0519b9709a126E0b10,0.051271677017211914,0.0,0.07567715644836426,0.0,0.6215558052062988,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
9,patient,0x7868B3710b9ca059B444c39DC635eFF3214dED6B,0x0055121fa02f7cc287e46F05de20B499692ea676,0.05243635177612305,0.0,0.0700981616973877,0.0,0.47251248359680176,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
10,patient,0xD09adED9A125F06d97a8C38fD9d50EFF576a769B,0x257527eFa89AC4Bd7E86DCF5cEF9031d849DAcfb,0.05236458778381348,0.0,0.07294440269470215,0.0,0.6077702045440674,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
11,patient,0x70453cC52286D4C42B1c7403646d2E75850ca360,0xB9129C6C3296AB2d9aa2C82aca007240D2D32b61,0.15782594680786133,0.0,0.19321799278259277,0.0,0.5212321281433105,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
12,patient,0xE861B0FcF5D3fE651D57E06E2Ff1efE832729641,0xebad044aa5FdC5BCf4D16937AC492D1203bFcED8,0.05035543441772461,0.0,0.07233262062072754,0.0,0.468031644821167,44716.0,0.0,53058.0,0.0,257584.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
13,patient,0x3615E5868137aC57675B1bC43e9483ae30483EF2,0xFCC18080453180Bf2F100990eDDEECf11712c80d,0.05273699760437012,0.0,0.08095812797546387,0.0,0.5481693744659424,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
14,patient,0x5c12ab11f0De92EE541977eC183737edC65e4163,0xDA6d9a0b4a0b7ef694e6Da71169e854b4296fa3B,0.04856085777282715,0.0,0.06935811042785645,0.0,0.6430528163909912,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
15,patient,0xe006Fd966e239e7C98E5372eE2B621C5E1E1d96B,0x091c3BFC20008bEe5Fc1fF81e60d1E45B8144B0D,0.05111384391784668,0.0,0.07259988784790039,0.0,0.7230591773986816,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
16,patient,0xd02cC89b912F9D6a0C74b4B6d131907d6Fa7703e,0xfF720acEE2306bF4C5c47AfEaD7A7935D382F55E,0.049286603927612305,0.0,0.07217192649841309,0.0,0.4712655544281006,44716.0,0.0,53070.0,0.0,225470.0,1.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
17,patient,0xE46825e9FBB0832678880d8D9aeb050C034Af06A,0x61326C091A8184A959B441b169C06102eaeF4966,0.049071550369262695,0.0,0.07391977310180664,0.0,0.6060168743133545,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
18,patient,0x3fC7DAF013aef1BCF9214d73a8e69C66A53e9313,0x031A82CBC396b57d0A4ACD8c51df40980d0aA098,0.04964923858642578,0.0,0.0753011703491211,0.0,0.5694801807403564,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
19,patient,0x0deE4bE27E2837e049db8706a863d03216b869a5,0x4ac037eDd3042c54870A52BE2E40788948B7784a,0.05360984802246094,0.0,0.07476973533630371,0.0,0.6055881977081299,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
20,patient,0xb3F0e031eDdC7a3AA7d66D1319a5C90e1398D17b,0x7EA47F04948ADcd9e75Fbf0Ca17B07F053eF2E8a,0.05455327033996582,0.0,0.07362747192382812,0.0,0.5509629249572754,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
21,patient,0xc23Ef864E43Ea53bDeA58FA00E74d7357aD5B692,0x2c13FE3aB5ad5d695F20C6e8C422DBCB924b1207,0.05430960655212402,0.0,0.2808661460876465,0.0,0.5670344829559326,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
22,patient,0x87e41a1CcbFD6229553FC6fCA31AcBF65882e9Ce,0x1eCaC7B2838Ab039A491B2f6d7a8ddf376f03d02,0.058754682540893555,0.0,0.08096003532409668,0.0,0.4621903896331787,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
23,patient,0x69284Ea948a091018D98BA96af64997472777BF3,0x1a3590e2F6B542058C751d7d604BB4a80e1f3E69,0.0513002872467041,0.0,0.07680916786193848,0.0,0.5200302600860596,44716.0,0.0,53046.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
24,patient,0xe0428781C8e924545C7B0B81603764738852E32F,0xae9D493888885B7D3584b0f646bEEd145b49F966,0.051139116287231445,0.0,0.09886384010314941,0.0,0.9885871410369873,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
25,patient,0x3b4f258d61DCb3d09E32f8D36843Ed67fe177A01,0xEF48ac2CE36a77829182F1583efb2dF1512C886D,0.05723166465759277,0.0,0.07356405258178711,0.0,0.5829691886901855,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
26,patient,0x6f9ab980210d51a17b571a4AC6e296315E78D034,0x039262B71998cB97e705159E26815499c342847A,0.05281233787536621,0.0,0.09892058372497559,0.0,0.5826723575592041,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
27,patient,0xF2BC9C653372f2b19ffc0d53d84d23C0b2e0c4a4,0x65a7f882F4701d3F0871E48Ab81C8c1CCec7205f,0.05312347412109375,0.0,0.07189798355102539,0.0,0.4759495258331299,44716.0,0.0,53058.0,0.0,257584.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
28,patient,0xFa9b8c58cA5Dd5f6f036c8410e2a2b4313bC16Ec,0x7be9bC33e303c2E222b07c675146Ea614eC836d9,0.05056262016296387,0.0,0.07390809059143066,0.0,0.5590095520019531,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
29,patient,0xe755d82b0EA35ED808B31F4916c4e84EA4cb88Bc,0x051BBe55bCfE9Ce2EBD3dB566F239F4B526dA944,0.05033230781555176,0.0,0.07220220565795898,0.0,0.5383834838867188,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
30,patient,0x3f632F0367D93D5CB202937aD214Fdcc845C9E6d,0x57Ed536B4D3A7a163F1B3e0f6B4D35689474Ce98,0.053533077239990234,0.0,0.07197785377502441,0.0,0.5270602703094482,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
31,patient,0x6377cf26254606709332436C854DfA433B91Ad32,0x6474E2a47eBcD78F865D69F72084d6674cccDebc,0.05066943168640137,0.0,0.07126426696777344,0.0,0.44344115257263184,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
