,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xb909ca6EBd68046AB574BA7ee979d4f52563745C,0xe9149719c8BC2DD824A3358dA145bb750151D362,0.054868221282958984,0.0,0.07207274436950684,0.0,0.5000700950622559,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0xc7094B97dDBbCCba3b4fcAe4E8446ae5f9174C56,0xA4068573feC739A007CCA0542040C6F23897EfaC,0.048320770263671875,0.0,0.06918072700500488,0.0,0.5399153232574463,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x832B8848ac640B7Bf49B2b2a8583A576C5b756da,0x6118a6Ce5277c73b30331B1400fa8577BA3754ce,0.05022239685058594,0.0,0.06940531730651855,0.0,0.5603365898132324,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0x99C0b22F1C65C0d62FBcE7e2634db2F13Fd03F52,0xC9c5AA648F0B4Fe1b7666B81A96aA26aF63C04Fe,0.047454833984375,0.0,0.0708622932434082,0.0,0.4774324893951416,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
4,patient,0x7f9B0f2733762b1d7537522a97641Bf56350d6E6,0x1D2D523D4B5153D356F6aE676BF7C8E1790Fc581,0.0481724739074707,0.0,0.06572675704956055,0.0,0.5260124206542969,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0x5C8a82fAB774Ce889b526C446FaB06e10EA54379,0xAc7A0Bd74DB7084589A36f31eDffc6E7Dc2D40Ae,0.04738497734069824,0.0,0.07260537147521973,0.0,0.5604469776153564,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0x797Ee840EE89cB9eff954B5B923E90A1c613D82C,0x6bb10785936c6540f8A2D023C092608582a3E19D,0.052253007888793945,0.0,0.07125329971313477,0.0,0.44290852546691895,44716.0,0.0,53058.0,0.0,257584.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
7,patient,0x031244697E3aEdAd05e184Fc2c4686fC1f0d2412,0xb90a8Ea538dBD3af6e64A7c7bE11F54046A944a1,0.05278658866882324,0.0,0.06768941879272461,0.0,0.532907247543335,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x726961796b9283E876231ae76082F30Ef59c216E,0x3cFF6EB1ad7e2C934558733C191220A4546483eA,0.0567014217376709,0.0,0.07601499557495117,0.0,0.5746743679046631,44716.0,0.0,53058.0,0.0,257584.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
9,patient,0xfd19492276f7590021CA6308779071D2959f2881,0xC129B7D1738c8Cf6810C6D673dE4e585695390bB,0.048371315002441406,0.0,0.07114481925964355,0.0,0.5243265628814697,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
