,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0xCe8B4e198c14a7F51fF10a28838Ba5386942d239,0x1b45a0f754a7CC13FB01C0DA4103519244DCc89A,0.049448251724243164,0.0,0.0696408748626709,0.0,0.49583005905151367,44716.0,0.0,53058.0,0.0,289782.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,patient,0x113742ca30650e5bB3E383b11Ad80f2DE37F1b2e,0x8fda9c6D81598d8aeD78B9a99a1801D97BB80F9d,0.05695986747741699,0.0,0.0670170783996582,0.0,0.5259294509887695,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
2,patient,0x7b9afa424e67fa7011F223287362956C61a3a1C1,0x79903B4B12b7C6ccbB83A7F12A884c1aF67e7309,0.05448651313781738,0.0,0.07835626602172852,0.0,0.5468738079071045,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
3,patient,0xB224711dD78aed8A3ADbB455D71D44A4A5984273,0x90d68f0Ba83E481C798714cA39929903a342991f,0.04913926124572754,0.0,0.06972384452819824,0.0,0.6170737743377686,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
4,patient,0xA4Ba982E7e7E96129Ac7fC3386d96632439F270b,0x2C594ce47FAc991A6f8bff53374490e7c2758AFe,0.05205965042114258,0.0,0.08091425895690918,0.0,0.4994771480560303,44704.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
5,patient,0x512cb026D5F40C54e0daB1bbd76aeCdD5A8Da6dA,0xF0B291b07B9462F25e2071287aEc09D37a213b8d,0.052152156829833984,0.0,0.07942628860473633,0.0,0.5743577480316162,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0x253147cC6EE9fE0bC42a53c0939D27a1D0A7E8e3,0x34678B64f9C84f7c17Fed18e730fC1CE670bc72e,0.04896235466003418,0.0,0.06938958168029785,0.0,0.5528624057769775,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
7,patient,0x88de4F2F461B14B1c779527dE8F97F5E3618Bd81,0x4d664d2e5E7308E9B6D47d8397546e2Cba8327D8,0.05109667778015137,0.0,0.06887078285217285,0.0,0.48694825172424316,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x772eb39EA7aF88514c9f04A365292E6729Ee69FF,0xb8276aB574af19Fe306E67181A3502Be0b8dF667,0.05363655090332031,0.0,0.0724787712097168,0.0,0.5823929309844971,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
9,patient,0x72061d5aA73EB1f3fDa6668f85962C208783b738,0xe9251222812618b4f2AD08a431442b4A61f2a47F,0.051290273666381836,0.0,0.07316064834594727,0.0,0.5301876068115234,44716.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
