,role,personal_address,contract_address,add_permissioned_runtime,remove_permissioned_runtime,add_prescription_permissions_runtime,remove_prescription_permissions_runtime,request_fill_runtime,add_permissioned_gas_used,remove_permissioned_gas_used,add_prescription_permissions_gas_used,remove_prescription_permissions_gas_used,request_fill_gas_used,add_permissioned_transactions,remove_permissioned_transactions,add_prescription_permissions_transactions,remove_prescription_permissions_transactions,request_fill_transactions,new_prescription_runtime,refill_prescription_runtime,new_prescription_gas_used,refill_prescription_gas_used,new_prescription_transactions,refill_prescription_transactions,add_prescription_runtime,fill_prescription_runtime,request_refill_runtime,add_prescription_gas_used,fill_prescription_gas_used,request_refill_gas_used,add_prescription_transactions,fill_prescription_transactions,request_refill_transactions
0,patient,0x3D0d57B75Aff4D0FBeB08e51AfB3688d68726be7,0xF07bd1Cdc555DDc2790112e1269c5BA686870C15,0.051705121994018555,0.0,0.07319164276123047,0.0,0.5192029476165771,44716.0,0.0,53058.0,0.0,257584.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
1,patient,0xAe7baE6cE4e40F882358ffe9254Ba725467ac90b,0x160eD3644D1cc300404b1bf385F5E808A4eAEaf5,0.04817628860473633,0.0,0.07735252380371094,0.0,0.7397251129150391,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
2,patient,0x95B13947bE69F41072D694069BA17481fb716dBe,0xF483b7AC0ee17059a7f51d7e39DFF64c7d695eE6,0.053090572357177734,0.0,0.07868075370788574,0.0,0.7452070713043213,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
3,patient,0x7a37A2DE960cA25276740e11986C61C487c987Fe,0xA0AD79DFf46b0FFAf68e001bC78F3aF77994A6cD,0.05217409133911133,0.0,0.0768277645111084,0.0,0.9601039886474609,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
4,patient,0x4FC9006E4eC9e0faCf06dB2BE84a5d2049ed9174,0xAb0BB9d760AEDcA629128716C8a951CA1a90F08d,0.059775352478027344,0.0,0.07567405700683594,0.0,0.46865081787109375,44716.0,0.0,53070.0,0.0,225470.0,1.0,0.0,1.0,0.0,7.0,,,,,,,,,,,,,,,
5,patient,0xCcA88CFb4A646b65C1c2d92368F6AE219572c042,0x28698814B88DE6533e08290E1B93E3277a9a66D1,0.09738922119140625,0.0,0.07783889770507812,0.0,1.0674142837524414,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
6,patient,0x00996C60AA65ecf2Fd03D001fDfB64d094551781,0x7002E883BE9cE79D98776fC8A7D7a1A214A8f5e0,0.053159236907958984,0.0,0.07822871208190918,0.0,0.9430968761444092,44716.0,0.0,53058.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
7,patient,0x8bfFcF6614C7310b9fCe028D3B31A011008936e9,0xC4B109B42dAbDACc4A008916857f2135822D2f5D,0.05409383773803711,0.0,0.07708859443664551,0.0,0.8646008968353271,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
8,patient,0x21dFFF2582ef1E6C56cf16b0F3D232555BCcF751,0xfD7B5f29c321FD621382db01b563885723a20220,0.061338186264038086,0.0,0.07401061058044434,0.0,0.8375499248504639,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
9,patient,0xB016b61BFDea095048CD23FD6E655180c90ff0C8,0xF99d78BCdA31Fc3C85AF811feb322038c8656391,0.07924246788024902,0.0,0.0781259536743164,0.0,1.0821831226348877,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
10,patient,0x1CC5651D68E118Ac986A1962d7490aA804F925Bc,0x997a9822D8494e522389B191bdB0B596Ed4CC37d,0.05705857276916504,0.0,0.0769796371459961,0.0,0.5817902088165283,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
11,patient,0xaE99D8bb50D4489562107320208aDFD3a72839E3,0x6E96f2858FC0B41587aa534Db110fC30C646388B,0.0503542423248291,0.0,0.07789015769958496,0.0,0.6436014175415039,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
12,patient,0xFd561aF879A9764f9DBD2b2c99Dfa8B314E97534,0x33ad17315C250B57cc57dbab13Ea325b80258693,0.05292868614196777,0.0,0.07226085662841797,0.0,0.5377254486083984,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
13,patient,0xd4239a83464C5A03C398A29e8CC79EfFE3D9c7Bd,0xC6eaC15C36Dc44B802521Bc1C197bFd0Eb853eD4,0.055609703063964844,0.0,0.07547116279602051,0.0,0.5515213012695312,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
14,patient,0x9A718ABfeE6ba63033Dd2fB2221fDAd4Aa85Ecd8,0x27736c748F8FC778202a46e528857cB11619470D,0.057692527770996094,0.0,0.08007049560546875,0.0,0.5524578094482422,44704.0,0.0,53058.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
15,patient,0xe7bA33410f81D879b5CA0AD1048553B9c67FecF7,0x1E839278BdAdD0c81d1bAE2Ef554121506BaFDC5,0.051561832427978516,0.0,0.0800168514251709,0.0,0.49765896797180176,44716.0,0.0,53070.0,0.0,257680.0,1.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,,,,
16,patient,0xf84523cfC0e47A6155C0Fde2eceaB2bD6A2eCB2a,0xC34D95A7C5B3980eA2854F6bEb93F9b35E04c51c,0.05151939392089844,0.0,0.07284951210021973,0.0,0.6635487079620361,44716.0,0.0,53070.0,0.0,322100.0,1.0,0.0,1.0,0.0,10.0,,,,,,,,,,,,,,,
17,patient,0x1B004fEE1ec02f22974A1210Ac72fFb5C43e654A,0xE9578Ea157C2078c40B199FF953163CDe93Bac44,0.05889296531677246,0.0,0.07371830940246582,0.0,0.6175811290740967,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
18,patient,0xD11f38344926541E2764dE13cbF07e86b0221A9b,0x5a28ea582323dF32E531e4e189362a12EDc95523,0.055373430252075195,0.0,0.08284163475036621,0.0,0.5892684459686279,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
19,patient,0x42064dFe9172d0ddFe3fcf596b74166Ff419CcCD,0xfaA6Fde468d4DD7cE0033C6CBe7e6F811Df9e195,0.05535626411437988,0.0,0.07651662826538086,0.0,0.6257419586181641,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
20,patient,0xB22626C7dE3b45647b9B484b61b70dEA29b23A98,0xe8ace1Ec61635BAA45028612042E82F8e5E68256,0.05471158027648926,0.0,0.07496213912963867,0.0,0.5960752964019775,44716.0,0.0,53070.0,0.0,289890.0,1.0,0.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
